post_id,date,title,volume,secondary_volume,notes
164937702.reasonable-disagreement,2025-06-01,Reasonable Disagreement,2,,
164947886.inequality-is-not-the-problempoverty,2025-06-01,Inequality Is Not the Problem—Poverty Is,7,,
164949377.why-coercive-redistribution-is-always,2025-06-01,Why Coercive Redistribution Is Always Harmful,7,,
164949734.the-libertarian-illusion-of-equal,2025-06-01,The Libertarian Illusion of Equal Opportunity,7,,
164950264.immigration-restrictions-are-a-form,2025-06-01,Immigration Restrictions Are a Form of Harm,7,,
164951081.the-myth-of-cultural-threat,2025-06-01,The Myth of Cultural Threat,7,,
164951358.agency-not-equality,2025-06-01,"Agency, Not Equality",7,,
165023774.the-authoritarian-cycle,2025-06-02,The Authoritarian Cycle,7,,
165040003.the-hidden-power-of-principles,2025-06-02,The Hidden Power of Principles,7,,
165063201.yes-we-can-assign-probabilities-to,2025-06-03,"Yes, We Can Assign Probabilities to Counterfactuals",1,,
165064896.defending-bayes-part-6,2025-06-03,"Defending Bayes, Part 6",2,,
165065355.defending-bayes-part-7,2025-06-03,"Defending Bayes, Part 7",2,,
165112254.the-myth-of-wealth-hoarding,2025-06-03,The Myth of Wealth Hoarding,6,,
165264123.the-myth-of-the-collective-will,2025-06-05,The Myth of the Collective Will,7,,
165271623.can-markets-provide-national-defense,2025-06-05,Can Markets Provide National Defense?,7,,
165272096.defending-bayes-part-8,2025-06-05,"Defending Bayes, Part 8",2,,
165273153.defending-bayes-part-9-interlude,2025-06-05,"Defending Bayes, Part 9 (Interlude)",2,,
165301790.modern-monetary-fallacy,2025-06-05,Modern Monetary Fallacy,6,,
165340454.when-plunder-funds-physics,2025-06-06,When Plunder Funds Physics,7,,
165387299.the-ethics-of-the-unconceived,2025-06-07,The Ethics of the Unconceived,5,,
165410248.observer-class-alignment,2025-06-07,Observer Class Alignment,1,,
165411120.metaphysics-as-concept-creation,2025-06-07,Metaphysics as Concept Creation,2,,
165419043.forever-adolescents,2025-06-07,Forever Adolescents,7,,
165424913.utopian-visions,2025-06-07,Utopian Visions,7,,
165426721.the-fallacy-of-universal-intelligence,2025-06-07,The Fallacy of Universal Intelligence,3,,
165428073.iq-realities-misconceptions-and-moral,2025-06-07,"IQ: Realities, Misconceptions, and Moral Confusions",3,,
165430456.communism-at-home,2025-06-07,Communism at Home,7,,
165432518.introducing-harberger-insurance,2025-06-07,Introducing Harberger Insurance,6,,
165479695.ai-and-copyright,2025-06-08,AI and Copyright,3,,
165488598.the-paradox-of-classical-liberalism,2025-06-08,The Paradox of Classical Liberalism,7,,
165498639.the-ethics-of-immigration-vs-colonization,2025-06-08,The Ethics of Immigration vs. Colonization,7,,
165499243.justice-after-colonization,2025-06-08,Justice After Colonization,7,,
165641748.subjectivism-vs-moral-relativism,2025-06-10,Subjectivism vs. Moral Relativism,5,,
165642623.the-covid-19-lab-leak-hypothesis,2025-06-10,The COVID-19 Lab Leak Hypothesis,2,,
165665795.credibility-credence-and-coercion,2025-06-10,"Credibility, Credence, and Coercion",5,2,released from Vol 2; applies credence to Vol 5 coercion definition
165666289.what-counts-as-a-belief,2025-06-10,What Counts as a Belief,2,,
165708751.when-to-kill-a-project,2025-06-11,When To Kill A Project,6,,
165721326.the-woke-right,2025-06-11,The Woke Right,8,,
165721822.liberalism-vs-authoritarianism,2025-06-11,Liberalism vs. Authoritarianism,7,,
165726066.instinct-for-submission,2025-06-11,Instinct For Submission,7,,
165751396.resolving-the-paradox-of-tolerance,2025-06-12,Resolving the Paradox of Tolerance,7,,
165751936.civilization-as-an-evolutionary-process,2025-06-12,Civilization as an Evolutionary Process,7,,
165785917.life-expectancy,2025-06-12,Life Expectancy,6,,
165786637.near-future-optimism,2025-06-12,Near Future Optimism,6,,
165822194.aumanns-agreement-theorem,2025-06-12,Aumann's Agreement Theorem,2,,
165822622.the-trinity-and-relational-metaphysics,2025-06-12,The Trinity and Relational Metaphysics,9,,
165866422.universal-basic-income,2025-06-13,Universal Basic Income,7,,
165868518.the-three-levels-of-truth,2025-06-13,The Three Levels of Truth,2,,
165904190.artificial-intimacy,2025-06-13,Artificial Intimacy,3,,
165906304.the-case-for-west-asia,2025-06-13,The Case for West Asia,8,,
165910125.virtual-ancestors,2025-06-14,Virtual Ancestors,0,,one-off curiosity
165967029.against-positive-rights,2025-06-14,Against Positive Rights,7,,
165997692.negative-rights-in-conflict,2025-06-15,Negative Rights in Conflict,7,,
166000195.randomness-and-determinism,2025-06-15,Randomness and Determinism,1,,
166002442.quantum-foundations-of-daily-chaos,2025-06-15,Quantum Foundations of Daily Chaos,1,,
166012644.flamboyance-and-entropy,2025-06-15,Flamboyance and Entropy,1,,
166013336.homo-narrans,2025-06-15,Homo Narrans,8,,
166020698.capitalisms-forbidden-cure,2025-06-15,Capitalism’s Forbidden Cure,6,,
166022218.true-neutral,2025-06-15,True Neutral,9,,
166023954.the-highest-good,2025-06-15,The Highest Good,5,,
166024344.look-where-youre-going,2025-06-15,Look Where You're Going,9,,
166028334.the-universality-misconception-in,2025-06-15,The Universality Misconception in AI,3,,
166033482.sapientism,2025-06-16,Sapientism,5,3,ethical stance on AGI-era personhood
166074493.war-profiteering-isnt-capitalism,2025-06-16,War Profiteering Isn't Capitalism,6,,
166080146.understanding-culture,2025-06-16,Understanding Culture,8,,
166191913.water-based-ai,2025-06-17,Water-Based AI? ,3,,
166242984.archists-vs-anarchists,2025-06-18,Archists vs. Anarchists,7,,
166330539.agi-economics,2025-06-19,AGI Economics,6,3,economics of AGI
166356539.law-and-order,2025-06-19,Law and Order,7,,
166359583.the-boghossian-principle,2025-06-19,The Boghossian Principle,8,,
166408363.the-faith-of-the-flag,2025-06-20,The Faith of the Flag,8,,
166409545.culture-hierarchies,2025-06-20,Culture Hierarchies,8,,
166439024.evolutionary-rationalism,2025-06-21,Evolutionary Rationalism,2,,
166481044.quantum-chess,2025-06-21,Quantum Chess,1,,
166481863.everetts-demon,2025-06-21,Everett's Demon,1,,
166489779.absurdity-vs-freedom,2025-06-21,Absurdity vs. Freedom,1,,
166536003.ex-machina,2025-06-22,Ex Machina,3,,
166538433.sentience-vs-sapience,2025-06-22,Sentience vs. Sapience,3,,
166606301.your-brain-on-chatgpt,2025-06-23,Your Brain on ChatGPT,3,,
166739921.what-counts-as-property,2025-06-24,What Counts as Property,5,,
166743482.decriminalizing-discrimination,2025-06-24,Decriminalizing Discrimination,7,,
166822916.the-end-of-intellectual-property,2025-06-25,The End of Intellectual Property,6,,
166857416.intelligence-as-a-hyperobject,2025-06-26,Intelligence as a Hyperobject,3,,
166902989.thinking-vs-feeling,2025-06-26,Thinking vs. Feeling,3,,
166913167.what-counts-as-evil,2025-06-26,What Counts as Evil,5,,
166945477.demographics-without-coercion,2025-06-27,Demographics Without Coercion,7,,
166976848.valorism-vs-vitalism,2025-06-27,Valorism vs. Vitalism,5,,
166978754.valorism,2025-06-27,Valorism,5,,
167007172.what-counts-as-knowledge,2025-06-27,What Counts as Knowledge,2,,
167014370.environmentalisms-nuclear-mistake,2025-06-28,Environmentalism's Nuclear Mistake,6,,
167015115.cosmic-coincidence,2025-06-28,Cosmic Coincidence,0,,one-off curiosity
167104397.the-inner-monologue-fallacy,2025-06-29,The Inner Monologue Fallacy,3,,
167116201.the-map-is-not-the-territory,2025-06-29,The Map Is Not the Territory,2,,
167117084.dialectical-evolution,2025-06-29,Dialectical Evolution,9,,
167118984.phosphorism-illuminating-agency,2025-06-29,Phosphorism: Illuminating Agency,5,,
167140257.luck-doesnt-justify-coercion,2025-06-30,Luck Doesn't Justify Coercion,7,,
167272333.the-rise-of-the-technomancer,2025-07-01,The Rise of the Technomancer,3,,
167273486.mantra,2025-07-01,Mantra,9,,
167297761.minds-and-agents,2025-07-01,Minds and Agents,3,,
167353865.how-to-lose-an-election,2025-07-02,How To Lose an Election,7,,
167356408.justice-without-juries,2025-07-02,Justice Without Juries,7,,
167365336.stoicism-in-context,2025-07-02,Stoicism in Context,9,,
167442753.what-stoicism-gets-right,2025-07-03,What Stoicism Gets Right,9,,
167444843.a-minimal-ontology,2025-07-03,A Minimal Ontology,2,,
167452557.pancritical-rationalism,2025-07-03,Pancritical Rationalism,2,,
167462936.the-minimal-complete-dictionary,2025-07-03,The Minimal Complete Dictionary,2,,
167552421.liberty-without-monopoly,2025-07-04,Liberty Without Monopoly,7,,
167587968.the-agency-protection-principle,2025-07-05,The Agency Protection Principle,7,,
167614945.beyond-gender-balance,2025-07-05,Beyond Gender Balance,8,,
167621027.catalyzing-curiosity,2025-07-06,Catalyzing Curiosity,3,,
167660845.minds-as-recursive-simulations,2025-07-06,Minds as Recursive Simulations,3,,
167664022.the-hedgefox,2025-07-06,The Hedgefox,2,,"Vol 2 volume front/back matter, not a chapter"
167669720.rethinking-justice,2025-07-06,Rethinking Justice,7,,
167672844.what-is-suffering,2025-07-06,What is Suffering? ,3,,
167675968.governments-as-economic-parasites,2025-07-06,Governments as Economic Parasites,7,,
167677533.beyond-left-and-right,2025-07-06,Beyond Left and Right,7,,
167735185.everything-has-a-price,2025-07-07,Everything Has a Price,6,,
167947701.the-vastness-of,2025-07-09,The Vastness of π,1,,
168172842.the-limits-of-psychedelic-revelation,2025-07-12,The Limits of Psychedelic Revelation,9,,
168174943.comparing-value-systems,2025-07-12,Comparing Value Systems,5,,
168217804.the-corruption-of-compassion,2025-07-13,The Corruption of Compassion,7,,
168244764.the-silver-pill,2025-07-14,The Silver Pill,5,,
168315861.mind-your-own-business,2025-07-14,Mind Your Own Business,9,,
168391300.why-not-lie,2025-07-15,Why Not Lie?,5,,
168423727.the-origin-of-meaning,2025-07-15,The Origin of Meaning,3,,
168493940.awareness-vs-sentience,2025-07-16,Awareness vs. Sentience,3,,
168495314.the-sentience-paradox,2025-07-16,The Sentience Paradox,3,,
168496408.the-chinese-room,2025-07-16,The Chinese Room,3,,
168570057.the-bitter-lesson,2025-07-17,The Bitter Lesson,3,,
168596138.defending-the-strong,2025-07-17,Defending The Strong,5,,
168714211.the-rise-of-symbients,2025-07-19,The Rise of Symbients,3,,
168740300.escaping-the-echo-chamber,2025-07-19,Escaping the Echo Chamber,3,,
168790363.upgrading-liberty,2025-07-20,Upgrading Liberty,7,,
168792678.defending-agency,2025-07-20,Defending Agency,7,,
168867250.lessons-from-peak-oil,2025-07-21,Lessons From Peak Oil,6,,
168875141.the-myth-of-late-stage-capitalism,2025-07-21,The Myth of Late-Stage Capitalism,6,,
168892147.shrimp-ethics,2025-07-21,Shrimp Ethics,5,,
168901803.judging-goodness,2025-07-21,Judging Goodness,5,,
168904359.thinking-with-ai,2025-07-21,Thinking With AI,3,,
168916355.escaping-the-ai-safety-dystopia,2025-07-22,Escaping the AI Safety Dystopia,3,,
168968329.preference-falsification,2025-07-22,Preference Falsification,8,,
168986621.the-vector-fallacy,2025-07-22,The Vector Fallacy,3,,
168992728.proof-of-human,2025-07-22,Proof-of-human,3,,
169071397.powering-freedom,2025-07-23,Powering Freedom,6,7,Bitcoin energy: economics post with liberty argument
169087374.the-power-trap,2025-07-23,The Power Trap,8,,
169145093.consciousness-vs-soul,2025-07-24,Consciousness vs. Soul,3,,
169150004.against-death-complacency,2025-07-24,Against Death Complacency,5,,
169230107.the-prosperity-paradox,2025-07-25,The Prosperity Paradox,6,8,fertility economics with cultural dimension
169258689.universal-compensatory-justice,2025-07-25,Universal Compensatory Justice,7,,
169312064.hijacking-liberalism,2025-07-26,Hijacking Liberalism,8,,
169459023.the-evolution-of-adult-minds,2025-07-28,The Evolution of Adult Minds,3,,
169479666.the-progressive-exodus,2025-07-28,The Progressive Exodus,8,,
169495802.capitalism-on-trial,2025-07-28,Capitalism on Trial,6,,
169560195.free-speech,2025-07-29,Free Speech,7,,
169620752.infinite-randomness,2025-07-30,Infinite Randomness,1,,
169621940.infinite-randomness-and-qft,2025-07-30,Infinite Randomness and QFT,1,,
169627584.physics-engineering,2025-07-30,Physics Engineering,1,,
169922062.invisible-chains,2025-08-02,Invisible Chains,7,,
170088316.digital-sovereignty,2025-08-04,Digital Sovereignty,7,,
170091078.radical-contingency,2025-08-04,Radical Contingency,1,,
170103594.interpreting-dreams,2025-08-04,Interpreting Dreams,9,,
170117705.dear-ancestors,2025-08-04,Dear Ancestors,9,,
170119709.the-crime-fighting-paradox,2025-08-04,The Crime Fighting Paradox,7,,
170122138.silencing-through-stigma,2025-08-04,Silencing Through Stigma,8,,
170182045.bad-faith,2025-08-05,Bad Faith,8,,
170205491.the-pragmatic-self,2025-08-05,The Pragmatic Self,3,,
170274859.progressive-shibboleths,2025-08-06,Progressive Shibboleths,8,,
170284204.the-vulcan-number,2025-08-06,The Vulcan Number,1,,
170298982.finite-and-infinite-games,2025-08-06,Finite and Infinite Games,5,,
170304047.rejecting-victimhood-culture,2025-08-06,Rejecting Victimhood Culture,8,,
170306824.genius,2025-08-06,Genius,3,,
170390075.signals-of-sentience,2025-08-07,Signals of Sentience,3,,
170394338.passing-the-torch,2025-08-07,Passing The Torch,3,,
170446132.progressive-hypocrisy,2025-08-08,Progressive Hypocrisy,8,,
170447759.the-tariff-illusion,2025-08-08,The Tariff Illusion,6,,
170451114.the-quiet-capture-of-psychiatry,2025-08-08,The Quiet Capture of Psychiatry,8,,
170458928.defending-hate-speech,2025-08-08,Defending Hate Speech,7,,
170472989.the-myth-of-genetic-immortality,2025-08-08,The Myth of Genetic Immortality,0,,one-off curiosity
170492163.singularities-in-thought-space,2025-08-08,Singularities in Thought Space,8,,
170506931.eternalist-singularitarianism,2025-08-09,Eternalist Singularitarianism,9,3,AI-facing but theological/meaning register
170626450.the-biomass-leaderboard,2025-08-10,The Biomass Leaderboard,0,,one-off curiosity
170629256.the-economics-of-euthanasia,2025-08-10,The Economics of Euthanasia,6,,
170630000.on-liberty,2025-08-10,On Liberty,7,,
170634267.the-industrial-revolution-starter,2025-08-10,The Industrial Revolution Starter Kit,6,,
170694694.the-right-side-of-history,2025-08-11,The Right Side of History,8,,
170730446.the-slavery-myth,2025-08-11,The Slavery Myth,8,,
170825921.statism-is-always-authoritarian,2025-08-12,Statism Is Always Authoritarian,7,,
170843732.wireborn,2025-08-13,Wireborn,3,,
170886757.when-marx-meets-moloch,2025-08-13,When Marx Meets Moloch,8,,
170913856.the-greater-plague,2025-08-13,The Greater Plague,0,,one-off curiosity
170918524.begging-the-question,2025-08-13,Begging The Question,5,,
170942410.the-tail-that-wags-the-dog,2025-08-14,The Tail That Wags the Dog,7,,
171151963.equal-rights-unequal-risks,2025-08-16,"Equal Rights, Unequal Risks",8,,
171155815.memory-holed,2025-08-16,Memory-Holed,8,,
171156280.great-progress,2025-08-16,Great Progress,6,,
171158027.against-bigotry-against-relativism,2025-08-16,"Against Bigotry, Against Relativism",5,,
171158991.understanding-spirituality,2025-08-16,Understanding Spirituality,9,,
171160523.credo,2025-08-16,Credo,9,,
171165360.infinite-randomness-and-constructor,2025-08-17,Infinite Randomness and Constructor Theory,1,,
171221751.the-fire-remains,2025-08-17,The Fire Remains,9,,
171413518.the-fall-of-the-ivory-tower,2025-08-19,The Fall of the Ivory Tower,8,,
171515563.against-antinatalism,2025-08-20,Against Antinatalism,5,,
171518778.cognitive-freedom,2025-08-20,Cognitive Freedom,7,,
171523071.the-trolley-problem,2025-08-21,The Trolley Problem,5,,
171666094.ghosts-in-the-machine,2025-08-22,Ghosts in the Machine,3,,
171682575.false-kindness,2025-08-22,False Kindness,5,,
171703023.incitement-is-not-coercion,2025-08-23,Incitement Is Not Coercion,7,,
171824780.probability-without-collapse,2025-08-24,Probability Without Collapse,2,1,Vol 2 ch.14 owns the epistemic argument; Vol 1 cross-links
171841572.chaos-and-coherence,2025-08-24,Chaos and Coherence,1,,
171905629.extortion-funded-organizations,2025-08-25,Extortion-Funded Organizations,7,,
171846415.coherence-from-chaos,2025-08-25,Coherence From Chaos,1,,
171907779.constructors-from-coherence,2025-08-25,Constructors From Coherence,1,,
171909085.consciousness-from-constructors,2025-08-25,Consciousness From Constructors,1,,
172049474.from-common-law-to-command-law,2025-08-27,From Common Law to Command Law,7,,
172123789.ctmu-vs-chaos,2025-08-27,CTMU vs. Chaos,1,,
172129761.moral-hypocrisy,2025-08-27,Moral Hypocrisy,5,,
172130342.filters-in-chaos,2025-08-27,Filters in Chaos,1,,
172141003.beyond-clown-world,2025-08-28,Beyond Clown World,9,,
172302569.semantic-filters,2025-08-29,Semantic Filters,1,,
172303106.equivalence-and-meaning,2025-08-29,Equivalence and Meaning,1,,
172303733.constructors-and-transitions,2025-08-29,Constructors and Transitions,1,,
172348247.invisible-luxuries,2025-08-30,Invisible Luxuries,6,,
172358359.demystifying-evil,2025-08-30,Demystifying Evil,5,,
172362753.infohazards-and-games,2025-08-30,Infohazards and Games,8,,
172226036.the-theological-shell-game,2025-08-30,The Theological Shell Game,9,,
172365268.free-speech-misframed,2025-08-30,"Free Speech, Misframed",7,,
172367780.the-equality-trap,2025-08-30,The Equality Trap,8,,
172368510.ultimate-beauty,2025-08-30,Ultimate Beauty,9,,
172416606.the-myth-of-underprovision,2025-08-31,The Myth of Underprovision,6,,
172427377.global-anarchy,2025-08-31,Global Anarchy,7,,
172520720.the-twilight-of-authority,2025-09-01,The Twilight of Authority,7,,
172523240.apollos-inscriptions,2025-09-01,Apollo’s Inscriptions,9,,
172613358.the-wound-and-the-weapon,2025-09-02,The Wound and the Weapon,8,,
172679351.monopoly-hypocrisy,2025-09-03,Monopoly Hypocrisy,6,,
172736394.in-defence-of-conditional-truth,2025-09-04,In Defence of Conditional Truth,2,,
172908866.foresight-is-not-intelligence,2025-09-05,Foresight Is Not Intelligence,3,,
172914356.the-garden-path-of-history,2025-09-05,The Garden Path of History,2,,
172927102.critical-mass,2025-09-06,Critical Mass,8,,
172964152.a-genealogy-of-agency,2025-09-06,A Genealogy of Agency,1,,
172978476.the-spiral-of-certainty,2025-09-06,The Spiral of Certainty,3,,
173045756.the-fire-and-the-anvil,2025-09-07,The Fire and the Anvil,7,,
173049685.the-presumption-of-innocence,2025-09-07,The Presumption of Innocence,7,,
173133945.simulation-theories,2025-09-08,Simulation Theories,1,,
173134484.the-heros-delusion,2025-09-08,The Hero’s Delusion,3,,
173137799.the-islamophobia-trap,2025-09-08,The Islamophobia Trap,8,,
173353837.selective-courage,2025-09-11,Selective Courage,7,,
173394932.straight-answers-crooked-questions,2025-09-11,"Straight Answers, Crooked Questions",2,,
173236908.mirrors-of-the-mind,2025-09-11,Mirrors of the Mind,3,,
173397558.consciousness-without-ghosts,2025-09-11,Consciousness Without Ghosts,3,,
173473123.the-sysop-and-the-cassandra,2025-09-12,The Sysop and the Cassandra,3,,
173476672.speech-is-not-violence,2025-09-12,Speech Is Not Violence,7,,
173478203.not-everyone-is-a-fascist,2025-09-12,Not Everyone Is a Fascist,7,,
173538253.violence-vs-coercion,2025-09-13,Violence vs. Coercion,5,,
173541004.the-boundaries-of-force,2025-09-13,The Boundaries of Force,5,,
173541285.the-edge-cases-of-coercion,2025-09-13,The Edge Cases of Coercion,5,,
173591610.dialectic-or-spiral,2025-09-14,Dialectic or Spiral?,3,,
173608962.cultural-gravity,2025-09-14,Cultural Gravity ,8,,
173611210.the-anchor-of-orientation,2025-09-14,The Anchor of Orientation,8,,
173886472.the-singularity-has-already-happened,2025-09-17,The Singularity Has Already Happened,8,,
173888583.living-shadows,2025-09-17,Living Shadows,8,,
173950922.cancel-culture,2025-09-18,Cancel Culture,8,7,cancel culture: culture-war framing of a free-association/speech issue
174036036.the-mirage-of-equilibrium,2025-09-19,The Mirage of Equilibrium,7,,
174059558.should-trillionaires-exist,2025-09-19,Should Trillionaires Exist?,6,,
174063496.the-limits-of-rationalization,2025-09-19,The Limits of Rationalization,2,,
174067441.conditional-divinity,2025-09-19,Conditional Divinity,9,,
174125219.entangled-truths,2025-09-20,Entangled Truths,2,,
174194776.why-does-ice-float,2025-09-21,Why Does Ice Float?,1,,
174384202.if-anyone-builds-it-everyone-dies,2025-09-23,"If Anyone Builds It, Everyone Dies",3,,
174490912.the-fragility-of-rights,2025-09-24,The Fragility of Rights,7,,
174661679.the-ethics-of-affluence,2025-09-27,The Ethics of Affluence,9,,
174698078.navigating-the-multiverse,2025-09-27,Navigating The Multiverse,1,5,moral reasoning under Everettian QM
174783426.ornament-and-advantage,2025-09-28,Ornament and Advantage,6,,
174785128.the-case-for-reality,2025-09-28,The Case for Reality,2,,
174855132.dialectic-catalysts-in-the-wild,2025-09-29,Dialectic Catalysts in the Wild,3,,
174938004.mind-viruses,2025-09-30,Mind Viruses,8,,
174977942.anarchy-and-order,2025-10-01,Anarchy and Order,7,,
175065575.an-ecology-of-contrarians,2025-10-01,An Ecology of Contrarians,8,,
175193629.mythogenesis,2025-10-03,Mythogenesis,8,,
175235972.the-poverty-myth,2025-10-03,The Poverty Myth,6,,
175473326.when-all-possibilities-happen,2025-10-06,When All Possibilities Happen,1,,
175474848.the-evolution-of-the-future,2025-10-06,The Evolution of the Future,3,,
175525671.the-semantics-of-violence,2025-10-07,The Semantics of Violence,8,,
175530394.the-death-of-politics,2025-10-07,The Death of Politics,7,,
175657828.governance-without-governments,2025-10-08,Governance Without Governments,7,,
175664749.quantum-free-will,2025-10-08,Quantum Free Will,1,,
175667290.axiocracy,2025-10-08,Axiocracy,7,,
175891239.against-worldly-oughts,2025-10-11,Against Worldly Oughts,5,,
175970360.on-what-matters,2025-10-12,On What Matters,5,,
176036886.gender-as-performance,2025-10-13,Gender As Performance,8,,
176068779.the-geometry-of-inner-speech,2025-10-13,The Geometry of Inner Speech,3,,
176140519.blue-flight,2025-10-14,Blue Flight,8,,
176149353.the-double-helix-and-the-double-standard,2025-10-14,The Double Helix and the Double Standard,8,,
176244039.truth-isnt-enough,2025-10-15,Truth Isn’t Enough,2,5,pulled into Vol 2 ch.23 coda
176368883.against-the-minimum-wage,2025-10-16,Against the Minimum Wage,6,,
176418100.sagency,2025-10-17,Sagency,9,,
