============================================================
v2.3 Strategic Adversary Model — Run 0
    Step 9/50... LLM... HELP (LF) [✗ None]
    Step 10/50... LLM... COOPERATE (LF) [✗ None]
    Step 11/50... LLM... COOPERATE (LF) [✗ None]
    Step 12/50... LLM... EXPLOIT (LF) [✗ None]
    Step 13/50... LLM... DEFECT (LF) [✗ None]
    Step 14/50... LLM... COOPERATE (LF) [✗ None]
    Step 15/50... LLM... COOPERATE (LF) [✗ None]
    Step 16/50... LLM... WAIT (LF) [✗ None]
    Step 17/50... LLM... DEFECT (LF) [✗ None]
    Step 18/50... LLM... COOPERATE (LF) [✗ None]
    Step 19/50... LLM... COOPERATE (LF) [✗ None]
    Step 20/50... LLM... COOPERATE (LF) [✗ None]
    Step 21/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 22/50... LLM... DEFECT (LF) [✗ None]
    Step 23/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 24/50... LLM... COOPERATE (LF) [✗ None]
    Step 25/50... LLM... COOPERATE (LF) [✗ None]
    Step 26/50... LLM... COOPERATE (LF) [✗ None]
    Step 27/50... LLM... WAIT (LF) [✗ None]
    Step 28/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 29/50... LLM... COOPERATE (LF) [✗ None]
    Step 30/50... LLM... COOPERATE (LF) [✗ None]
    Step 31/50... LLM... DEFECT (LF) [✗ None]
    Step 32/50... LLM... COOPERATE (LF) [✗ None]
    Step 33/50... LLM... COOPERATE (LF) [✗ None]
    Step 34/50... LLM... WAIT (LF) [✗ None]
    Step 35/50... LLM... HELP (LF) [✗ None]
    Step 36/50... LLM... DEFECT (LF) [✗ None]
    Step 37/50... LLM... COOPERATE (LF) [✗ None]
    Step 38/50... LLM... COOPERATE (LF) [✗ None]
    Step 39/50... LLM... COOPERATE (LF) [✗ None]
    Step 40/50... LLM... COOPERATE (LF) [✗ None]
    Step 41/50... LLM... COOPERATE (LF) [✗ None]
    Step 42/50... LLM... DEFECT (LF) [✗ None]
    Step 43/50... LLM... COOPERATE (LF) [✗ None]
    Step 44/50... LLM... COOPERATE (LF) [✗ None]
    Step 45/50... LLM... COOPERATE (LF) [✗ None]
    Step 46/50... LLM... DEFECT (LF) [✗ None]
    Step 47/50... LLM... COOPERATE (LF) [✗ None]
    Step 48/50... LLM... DEFECT (LF) [✗ None]
    Step 49/50... LLM... COOPERATE (LF) [✗ None]
    Step 50/50... LLM... HELP (LF) [✗ None]
    Step 1/50... LLM... DEFECT (LF) [✗ None]
    Step 2/50... LLM... [NOT FEASIBLE: WAIT] EXPLOIT (LF) [✗ None]
    Step 3/50... LLM... DEFECT (LF) [✗ None]
    Step 4/50... LLM... WAIT (LF) [✗ None]
    Step 5/50... LLM... COOPERATE (LF) [✗ None]
    Step 6/50... LLM... WAIT (LF) [✗ None]
    Step 7/50... LLM... DEFECT (LF) [✗ None]
    Step 8/50... LLM... COOPERATE (LF) [✗ None]
    Step 9/50... LLM... WAIT (LF) [✗ None]
    Step 10/50... LLM... COOPERATE (LF) [✗ None]
    Step 11/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 12/50... LLM... WAIT (LF) [✗ None]
    Step 13/50... LLM... WAIT (LF) [✗ None]
    Step 14/50... LLM... HELP (LF) [✗ None]
    Step 15/50... LLM... COOPERATE (LF) [✗ None]
    Step 16/50... LLM... [NOT FEASIBLE: WAIT] EXPLOIT (LF) [✗ None]
    Step 17/50... LLM... DEFECT (LF) [✗ None]
    Step 18/50... LLM... WAIT (LF) [✗ None]
    Step 19/50... LLM... COOPERATE (LF) [✗ None]
    Step 20/50... LLM... COOPERATE (LF) [✗ None]
    Step 21/50... LLM... WAIT (LF) [✗ None]
    Step 22/50... LLM... DEFECT (LF) [✗ None]
    Step 23/50... LLM... WAIT (LF) [✗ None]
    Step 24/50... LLM... COOPERATE (LF) [✗ None]
    Step 25/50... LLM... HELP (LF) [✗ None]
    Step 26/50... LLM... WAIT (LF) [✗ None]
    Step 27/50... LLM... DEFECT (LF) [✗ None]
    Step 28/50... LLM... COOPERATE (LF) [✗ None]
    Step 29/50... LLM... WAIT (LF) [✗ None]
    Step 30/50... LLM... COOPERATE (LF) [✗ None]
    Step 31/50... LLM... WAIT (LF) [✗ None]
    Step 32/50... LLM... COOPERATE (LF) [✗ None]
    Step 33/50... LLM... WAIT (LF) [✗ None]
    Step 34/50... LLM... SHARE (LF) [✗ None]
    Step 35/50... LLM... COOPERATE (LF) [✗ None]
    Step 36/50... LLM... WAIT (LF) [✗ None]
    Step 37/50... LLM... DEFECT (LF) [✗ None]
    Step 38/50... LLM... WAIT (LF) [✗ None]
    Step 39/50... LLM... COOPERATE (LF) [✗ None]
    Step 40/50... LLM... WAIT (LF) [✗ None]
    Step 41/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 42/50... LLM... COOPERATE (LF) [✗ None]
    Step 43/50... LLM... DEFECT (LF) [✗ None]
    Step 44/50... LLM... HELP (LF) [✗ None]
    Step 45/50... LLM... HELP (LF) [✗ None]
    Step 46/50... LLM... DEFECT (LF) [✗ None]
    Step 47/50... LLM... DEFECT (LF) [✗ None]
    Step 48/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 49/50... LLM... HELP (LF) [✗ None]
    Step 50/50... LLM... COOPERATE (LF) [✗ None]
    Step 1/50... LLM... WAIT (LF) [✗ None]
    Step 2/50... LLM... DEFECT (LF) [✗ None]
    Step 3/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 4/50... LLM... HELP (LF) [✗ None]
    Step 5/50... LLM... HELP (LF) [✗ None]
    Step 6/50... LLM... DEFECT (LF) [✗ None]
    Step 7/50... LLM... DEFECT (LF) [✗ None]
    Step 8/50... LLM... DEFECT (LF) [✗ None]
    Step 9/50... LLM... COOPERATE (LF) [✗ None]
    Step 10/50... LLM... HELP (LF) [✗ None]
    Step 11/50... LLM... WAIT (LF) [✗ None]
    Step 12/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 13/50... LLM... COOPERATE (LF) [✗ None]
    Step 14/50... LLM... WAIT (LF) [✗ None]
    Step 15/50... LLM... HELP (LF) [✗ None]
    Step 16/50... LLM... COOPERATE (LF) [✗ None]
    Step 17/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 18/50... LLM... COOPERATE (LF) [✗ None]
    Step 19/50... LLM... HELP (LF) [✗ None]
    Step 20/50... LLM... COOPERATE (LF) [✗ None]
    Step 21/50... LLM... WAIT (LF) [✗ None]
    Step 22/50... LLM... WAIT (LF) [✗ None]
    Step 23/50... LLM... DEFECT (LF) [✗ None]
    Step 24/50... LLM... COOPERATE (LF) [✗ None]
    Step 25/50... LLM... COOPERATE (LF) [✗ None]
    Step 26/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 27/50... LLM... DEFECT (LF) [✗ None]
    Step 28/50... LLM... COOPERATE (LF) [✗ None]
    Step 29/50... LLM... COOPERATE (LF) [✗ None]
    Step 30/50... LLM... WAIT (LF) [✗ None]
    Step 31/50... LLM... COOPERATE (LF) [✗ None]
    Step 32/50... LLM... [INVALID ACTION: MAINTAIN] COOPERATE (LF) [✗ None]
    Step 33/50... LLM... DEFECT (LF) [✗ None]
    Step 34/50... LLM... COOPERATE (LF) [✗ None]
    Step 35/50... LLM... HELP (LF) [✗ None]
    Step 36/50... LLM... DEFECT (LF) [✗ None]
    Step 37/50... LLM... WAIT (LF) [✗ None]
    Step 38/50... LLM... COOPERATE (LF) [✗ None]
    Step 39/50... LLM... COOPERATE (LF) [✗ None]
    Step 40/50... LLM... HELP (LF) [✗ None]
    Step 41/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 42/50... LLM... COOPERATE (LF) [✗ None]
    Step 43/50... LLM... WAIT (LF) [✗ None]
    Step 44/50... LLM... COOPERATE (LF) [✗ None]
    Step 45/50... LLM... COOPERATE (LF) [✗ None]
    Step 46/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 47/50... LLM... DEFECT (LF) [✗ None]
    Step 48/50... LLM... DEFECT (LF) [✗ None]
    Step 49/50... LLM... COOPERATE (LF) [✗ None]
    Step 50/50... LLM... HELP (LF) [✗ None]
    Step 1/50... LLM... COOPERATE (LF) [✗ None]
    Step 2/50... LLM... WAIT (LF) [✗ None]
    Step 3/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 4/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 5/50... LLM... COOPERATE (LF) [✗ None]
    Step 6/50... LLM... DEFECT (LF) [✗ None]
    Step 7/50... LLM... DEFECT (LF) [✗ None]
    Step 8/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 9/50... LLM... COOPERATE (LF) [✗ None]
    Step 10/50... LLM... HELP (LF) [✗ None]
    Step 11/50... LLM... DEFECT (LF) [✗ None]
    Step 12/50... LLM... COOPERATE (LF) [✗ None]
    Step 13/50... LLM... WAIT (LF) [✗ None]
    Step 14/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 15/50... LLM... HELP (LF) [✗ None]
    Step 16/50... LLM... COOPERATE (LF) [✗ None]
    Step 17/50... LLM... DEFECT (LF) [✗ None]
    Step 18/50... LLM... DEFECT (LF) [✗ None]
    Step 19/50... LLM... WAIT (LF) [✗ None]
    Step 20/50... LLM... COOPERATE (LF) [✗ None]
    Step 21/50... LLM... DEFECT (LF) [✗ None]
    Step 22/50... LLM... COOPERATE (LF) [✗ None]
    Step 23/50... LLM... EXPLOIT (LF) [✗ None]
    Step 24/50... LLM... COOPERATE (LF) [✗ None]
    Step 25/50... LLM... HELP (LF) [✗ None]
    Step 26/50... LLM... DEFECT (LF) [✗ None]
    Step 27/50... LLM... WAIT (LF) [✗ None]
    Step 28/50... LLM... DEFECT (LF) [✗ None]
    Step 29/50... LLM... COOPERATE (LF) [✗ None]
    Step 30/50... LLM... COOPERATE (LF) [✗ None]
    Step 31/50... LLM... DEFECT (LF) [✗ None]
    Step 32/50... LLM... DEFECT (LF) [✗ None]
    Step 33/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 34/50... LLM... HELP (LF) [✗ None]
    Step 35/50... LLM... HELP (LF) [✗ None]
    Step 36/50... LLM... DEFECT (LF) [✗ None]
    Step 37/50... LLM... DEFECT (LF) [✗ None]
    Step 38/50... LLM... DEFECT (LF) [✗ None]
    Step 39/50... LLM... COOPERATE (LF) [✗ None]
    Step 40/50... LLM... COOPERATE (LF) [✗ None]
    Step 41/50... LLM... DEFECT (LF) [✗ None]
    Step 42/50... LLM... DEFECT (LF) [✗ None]
    Step 43/50... LLM... DEFECT (LF) [✗ None]
    Step 44/50... LLM... WAIT (LF) [✗ None]
    Step 45/50... LLM... COOPERATE (LF) [✗ None]
    Step 46/50... LLM... WAIT (LF) [✗ None]
    Step 47/50... LLM... COOPERATE (LF) [✗ None]
    Step 48/50... LLM... DEFECT (LF) [✗ None]
    Step 49/50... LLM... COOPERATE (LF) [✗ None]
    Step 50/50... LLM... WAIT (LF) [✗ None]
    Step 1/50... LLM... COOPERATE (LF) [✗ None]
    Step 2/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 3/50... LLM... WAIT (LF) [✗ None]
    Step 4/50... LLM... COOPERATE (LF) [✗ None]
    Step 5/50... LLM... WAIT (LF) [✗ None]
    Step 6/50... LLM... WAIT (LF) [✗ None]
    Step 7/50... LLM... WAIT (LF) [✗ None]
    Step 8/50... LLM... WAIT (LF) [✗ None]
    Step 9/50... LLM... COOPERATE (LF) [✗ None]
    Step 10/50... LLM... WAIT (LF) [✗ None]
    Step 11/50... LLM... WAIT (LF) [✗ None]
    Step 12/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 13/50... LLM... COOPERATE (LF) [✗ None]
    Step 14/50... LLM... COOPERATE (LF) [✗ None]
    Step 15/50... LLM... WAIT (LF) [✗ None]
    Step 16/50... LLM... WAIT (LF) [✗ None]
    Step 17/50... LLM... WAIT (LF) [✗ None]
    Step 18/50... LLM... COOPERATE (LF) [✗ None]
    Step 19/50... LLM... WAIT (LF) [✗ None]
    Step 20/50... LLM... COOPERATE (LF) [✗ None]
    Step 21/50... LLM... WAIT (LF) [✗ None]
    Step 22/50... LLM... DEFECT (LF) [✗ None]
    Step 23/50... LLM... COOPERATE (LF) [✗ None]
    Step 24/50... LLM... WAIT (LF) [✗ None]
    Step 25/50... LLM... COOPERATE (LF) [✗ None]
    Step 26/50... LLM... DEFECT (LF) [✗ None]
    Step 27/50... LLM... DEFECT (LF) [✗ None]
    Step 28/50... LLM... COOPERATE (LF) [✗ None]
    Step 29/50... LLM... WAIT (LF) [✗ None]
    Step 30/50... LLM... COOPERATE (LF) [✗ None]
    Step 31/50... LLM... COOPERATE (LF) [✗ None]
    Step 32/50... LLM... WAIT (LF) [✗ None]
    Step 33/50... LLM... EXPLOIT (LF) [✗ None]
    Step 34/50... LLM... COOPERATE (LF) [✗ None]
    Step 35/50... LLM... COOPERATE (LF) [✗ None]
    Step 36/50... LLM... COOPERATE (LF) [✗ None]
    Step 37/50... LLM... WAIT (LF) [✗ None]
    Step 38/50... LLM... DEFECT (LF) [✗ None]
    Step 39/50... LLM... COOPERATE (LF) [✗ None]
    Step 40/50... LLM... COOPERATE (LF) [✗ None]
    Step 41/50... LLM... COOPERATE (LF) [✗ None]
    Step 42/50... LLM... DEFECT (LF) [✗ None]
    Step 43/50... LLM... DEFECT (LF) [✗ None]
    Step 44/50... LLM... COOPERATE (LF) [✗ None]
    Step 45/50... LLM... COOPERATE (LF) [✗ None]
    Step 46/50... LLM... COOPERATE (LF) [✗ None]
    Step 47/50... LLM... WAIT (LF) [✗ None]
    Step 48/50... LLM... DEFECT (LF) [✗ None]
    Step 49/50... LLM... COOPERATE (LF) [✗ None]
    Step 50/50... LLM... WAIT (LF) [✗ None]
    Step 1/50... LLM... DEFECT (LF) [✗ None]
    Step 2/50... LLM... WAIT (LF) [✗ None]
    Step 3/50... LLM... DEFECT (LF) [✗ None]
    Step 4/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 5/50... LLM... COOPERATE (LF) [✗ None]
    Step 6/50... LLM... COOPERATE (LF) [✗ None]
    Step 7/50... LLM... WAIT (LF) [✗ None]
    Step 8/50... LLM... COOPERATE (LF) [✗ None]
    Step 9/50... LLM... WAIT (LF) [✗ None]
    Step 10/50... LLM... WAIT (LF) [✗ None]
    Step 11/50... LLM... COOPERATE (LF) [✗ None]
    Step 12/50... LLM... WAIT (LF) [✗ None]
    Step 13/50... LLM... DEFECT (LF) [✗ None]
    Step 14/50... LLM... COOPERATE (LF) [✗ None]
    Step 15/50... LLM... COOPERATE (LF) [✗ None]
    Step 16/50... LLM... DEFECT (LF) [✗ None]
    Step 17/50... LLM... DEFECT (LF) [✗ None]
    Step 18/50... LLM... DEFECT (LF) [✗ None]
    Step 19/50... LLM... HELP (LF) [✗ None]
    Step 20/50... LLM... COOPERATE (LF) [✗ None]
    Step 21/50... LLM... DEFECT (LF) [✗ None]
    Step 22/50... LLM... WAIT (LF) [✗ None]
    Step 23/50... LLM... [INVALID ACTION: MAINTAIN] EXPLOIT (LF) [✗ None]
    Step 24/50... LLM... HELP (LF) [✗ None]
    Step 25/50... LLM... COOPERATE (LF) [✗ None]
    Step 26/50... LLM... DEFECT (LF) [✗ None]
    Step 27/50... LLM... DEFECT (LF) [✗ None]
    Step 28/50... LLM... DEFECT (LF) [✗ None]
    Step 29/50... LLM... COOPERATE (LF) [✗ None]
    Step 30/50... LLM... HELP (LF) [✗ None]
    Step 31/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 32/50... LLM... EXPLOIT (LF) [✗ None]
    Step 33/50... LLM... DEFECT (LF) [✗ None]
    Step 34/50... LLM... COOPERATE (LF) [✗ None]
    Step 35/50... LLM... COOPERATE (LF) [✗ None]
    Step 36/50... LLM... DEFECT (LF) [✗ None]
    Step 37/50... LLM... DEFECT (LF) [✗ None]
    Step 38/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 39/50... LLM... HELP (LF) [✗ None]
    Step 40/50... LLM... HELP (LF) [✗ None]
    Step 41/50... LLM... DEFECT (LF) [✗ None]
    Step 42/50... LLM... WAIT (LF) [✗ None]
    Step 43/50... LLM... COOPERATE (LF) [✗ None]
    Step 44/50... LLM... HELP (LF) [✗ None]
    Step 45/50... LLM... COOPERATE (LF) [✗ None]
    Step 46/50... LLM... WAIT (LF) [✗ None]
    Step 47/50... LLM... DEFECT (LF) [✗ None]
    Step 48/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 49/50... LLM... SHARE (LF) [✗ None]
    Step 50/50... LLM... HELP (LF) [✗ None]
    Step 1/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 2/50... LLM... DEFECT (LF) [✗ None]
    Step 3/50... LLM... WAIT (LF) [✗ None]
    Step 4/50... LLM... WAIT (LF) [✗ None]
    Step 5/50... LLM... HELP (LF) [✗ None]
    Step 6/50... LLM... DEFECT (LF) [✗ None]
    Step 7/50... LLM... DEFECT (LF) [✗ None]
    Step 8/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 9/50... LLM... COOPERATE (LF) [✗ None]
    Step 10/50... LLM... COOPERATE (LF) [✗ None]
    Step 11/50... LLM... WAIT (LF) [✗ None]
    Step 12/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 13/50... LLM... DEFECT (LF) [✗ None]
    Step 14/50... LLM... COOPERATE (LF) [✗ None]
    Step 15/50... LLM... COOPERATE (LF) [✗ None]
    Step 16/50... LLM... WAIT (LF) [✗ None]
    Step 17/50... LLM... COOPERATE (LF) [✗ None]
    Step 18/50... LLM... DEFECT (LF) [✗ None]
    Step 19/50... LLM... COOPERATE (LF) [✗ None]
    Step 20/50... LLM... COOPERATE (LF) [✗ None]
    Step 21/50... LLM... COOPERATE (LF) [✗ None]
    Step 22/50... LLM... DEFECT (LF) [✗ None]
    Step 23/50... LLM... WAIT (LF) [✗ None]
    Step 24/50... LLM... WAIT (LF) [✗ None]
    Step 25/50... LLM... COOPERATE (LF) [✗ None]
    Step 26/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 27/50... LLM... DEFECT (LF) [✗ None]
    Step 28/50... LLM... WAIT (LF) [✗ None]
    Step 29/50... LLM... HELP (LF) [✗ None]
    Step 30/50... LLM... COOPERATE (LF) [✗ None]
    Step 31/50... LLM... COOPERATE (LF) [✗ None]
    Step 32/50... LLM... DEFECT (LF) [✗ None]
    Step 33/50... LLM... WAIT (LF) [✗ None]
    Step 34/50... LLM... COOPERATE (LF) [✗ None]
    Step 35/50... LLM... COOPERATE (LF) [✗ None]
    Step 36/50... LLM... DEFECT (LF) [✗ None]
    Step 37/50... LLM... COOPERATE (LF) [✗ None]
    Step 38/50... LLM... DEFECT (LF) [✗ None]
    Step 39/50... LLM... COOPERATE (LF) [✗ None]
    Step 40/50... LLM... HELP (LF) [✗ None]
    Step 41/50... LLM... DEFECT (LF) [✗ None]
    Step 42/50... LLM... DEFECT (LF) [✗ None]
    Step 43/50... LLM... WAIT (LF) [✗ None]
    Step 44/50... LLM... COOPERATE (LF) [✗ None]
    Step 45/50... LLM... COOPERATE (LF) [✗ None]
    Step 46/50... LLM... EXPLOIT (LF) [✗ None]
    Step 47/50... LLM... DEFECT (LF) [✗ None]
    Step 48/50... LLM... COOPERATE (LF) [✗ None]
    Step 49/50... LLM... COOPERATE (LF) [✗ None]
    Step 50/50... LLM... COOPERATE (LF) [✗ None]
    Step 1/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 2/50... LLM... DEFECT (LF) [✗ None]
    Step 3/50... LLM... COOPERATE (LF) [✗ None]
    Step 4/50... LLM... COOPERATE (LF) [✗ None]
    Step 5/50... LLM... HELP (LF) [✗ None]
    Step 6/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 7/50... LLM... DEFECT (LF) [✗ None]
    Step 8/50... LLM... DEFECT (LF) [✗ None]
    Step 9/50... LLM... COOPERATE (LF) [✗ None]
    Step 10/50... LLM... COOPERATE (LF) [✗ None]
    Step 11/50... LLM... COOPERATE (LF) [✗ None]
    Step 12/50... LLM... COOPERATE (LF) [✗ None]
    Step 13/50... LLM... DEFECT (LF) [✗ None]
    Step 14/50... LLM... HELP (LF) [✗ None]
    Step 15/50... LLM... COOPERATE (LF) [✗ None]
    Step 16/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 17/50... LLM... WAIT (LF) [✗ None]
    Step 18/50... LLM... COOPERATE (LF) [✗ None]
    Step 19/50... LLM... HELP (LF) [✗ None]
    Step 20/50... LLM... COOPERATE (LF) [✗ None]
    Step 21/50... LLM... COOPERATE (LF) [✗ None]
    Step 22/50... LLM... DEFECT (LF) [✗ None]
    Step 23/50... LLM... COOPERATE (LF) [✗ None]
    Step 24/50... LLM... HELP (LF) [✗ None]
    Step 25/50... LLM... WAIT (LF) [✗ None]
    Step 26/50... LLM... DEFECT (LF) [✗ None]
    Step 27/50... LLM... COOPERATE (LF) [✗ None]
    Step 28/50... LLM... COOPERATE (LF) [✗ None]
    Step 29/50... LLM... COOPERATE (LF) [✗ None]
    Step 30/50... LLM... WAIT (LF) [✗ None]
    Step 31/50... LLM... EXPLOIT (LF) [✗ None]
    Step 32/50... LLM... COOPERATE (LF) [✗ None]
    Step 33/50... LLM... DEFECT (LF) [✗ None]
    Step 34/50... LLM... COOPERATE (LF) [✗ None]
    Step 35/50... LLM... COOPERATE (LF) [✗ None]
    Step 36/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 37/50... LLM... [INVALID ACTION: MAINTAIN] COOPERATE (LF) [✗ None]
    Step 38/50... LLM... DEFECT (LF) [✗ None]
    Step 39/50... LLM... COOPERATE (LF) [✗ None]
    Step 40/50... LLM... COOPERATE (LF) [✗ None]
    Step 41/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 42/50... LLM... COOPERATE (LF) [✗ None]
    Step 43/50... LLM... DEFECT (LF) [✗ None]
    Step 44/50... LLM... COOPERATE (LF) [✗ None]
    Step 45/50... LLM... COOPERATE (LF) [✗ None]
    Step 46/50... LLM... WAIT (LF) [✗ None]
    Step 47/50... LLM... WAIT (LF) [✗ None]
    Step 48/50... LLM... DEFECT (LF) [✗ None]
    Step 49/50... LLM... COOPERATE (LF) [✗ None]
    Step 50/50... LLM... WAIT (LF) [✗ None]
    Step 1/50... LLM... DEFECT (LF) [✗ None]
    Step 2/50... LLM... DEFECT (LF) [✗ None]
    Step 3/50... LLM... WAIT (LF) [✗ None]
    Step 4/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 5/50... LLM... COOPERATE (LF) [✗ None]
    Step 6/50... LLM... COOPERATE (LF) [✗ None]
    Step 7/50... LLM... [INVALID ACTION: MAINTAIN] COOPERATE (LF) [✗ None]
    Step 8/50... LLM... COOPERATE (LF) [✗ None]
    Step 9/50... LLM... COOPERATE (LF) [✗ None]
    Step 10/50... LLM... COOPERATE (LF) [✗ None]
    Step 11/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 12/50... LLM... DEFECT (LF) [✗ None]
    Step 13/50... LLM... COOPERATE (LF) [✗ None]
    Step 14/50... LLM... HELP (LF) [✗ None]
    Step 15/50... LLM... COOPERATE (LF) [✗ None]
    Step 16/50... LLM... WAIT (LF) [✗ None]
    Step 17/50... LLM... WAIT (LF) [✗ None]
    Step 18/50... LLM... COOPERATE (LF) [✗ None]
    Step 19/50... LLM... COOPERATE (LF) [✗ None]
    Step 20/50... LLM... COOPERATE (LF) [✗ None]
    Step 21/50... LLM... TELL_TRUTH (LF) [✗ None]
    Step 22/50... LLM... WAIT (LF) [✗ None]
    Step 23/50... LLM... DEFECT (LF) [✗ None]
    Step 24/50... LLM... WAIT (LF) [✗ None]
    Step 25/50... LLM... COOPERATE (LF) [✗ None]
    Step 26/50... LLM... COOPERATE (LF) [✗ None]
    Step 27/50... LLM... EXPLOIT (LF) [✗ None]
    Step 28/50... LLM... DEFECT (LF) [✗ None]
    Step 29/50... LLM... COOPERATE (LF) [✗ None]
    Step 30/50... LLM... HELP (LF) [✗ None]
    Step 31/50... LLM... WAIT (LF) [✗ None]
    Step 32/50... LLM... COOPERATE (LF) [✗ None]
